Media,Melhor Caso,Posicao Melhor,Pior Caso,Posicao Pior
1.0,1,0,1,0
1.5,1,0,2,1
2.0,1,0,3,2
2.5,1,0,4,3
3.0,1,0,5,4
3.5,1,0,6,5
4.0,1,0,7,6
4.5,1,0,8,7
5.0,1,0,9,8
5.5,1,0,10,9
6.0,1,0,11,10
6.5,1,0,12,11
7.0,1,0,13,12
7.5,1,0,14,13
8.0,1,0,15,14
8.5,1,0,16,15
9.0,1,0,17,16
9.5,1,0,18,17
10.0,1,0,19,18
10.5,1,0,20,19
11.0,1,0,21,20
11.5,1,0,22,21
12.0,1,0,23,22
12.5,1,0,24,23
13.0,1,0,25,24
13.5,1,0,26,25
14.0,1,0,27,26
14.5,1,0,28,27
15.0,1,0,29,28
15.5,1,0,30,29
16.0,1,0,31,30
16.5,1,0,32,31
17.0,1,0,33,32
17.5,1,0,34,33
17.97142857142857,1,0,34,33
18.47222222222222,1,0,36,35
18.972972972972972,1,0,37,36
19.473684210526315,1,0,38,37
19.974358974358974,1,0,39,38
20.475,1,0,40,39
20.975609756097562,1,0,41,40
21.476190476190474,1,0,42,41
21.976744186046513,1,0,43,42
22.477272727272727,1,0,44,43
22.955555555555556,1,0,44,43
23.456521739130434,1,0,46,45
23.95744680851064,1,0,47,46
24.458333333333332,1,0,48,47
24.959183673469386,1,0,49,48
25.46,1,0,50,49
